seID,SrcIp,DstIp,SrcPort,DstPort,timestamp,ActualUlVolume,ActualDlVolume,ActualTotalVolume,ActualUlPacket,ActualDlPacket,ActualTotalPacket
1,201392386,2170660915,0,0,2024-10-04 19:20:11,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:20:12,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:12,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:12,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:20:13,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:13,2316,17349,19665,15,21,36
1,201392386,2170660915,15082,36895,2024-10-04 19:20:13,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:13,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:20:14,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:14,1464,31470,32934,15,20,35
1,201392386,2170660915,15082,36895,2024-10-04 19:20:14,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:14,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:15,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:15,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:15,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:15,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:16,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:16,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:16,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:16,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:17,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:17,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:17,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:17,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:18,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:18,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:18,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:18,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:19,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:19,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:19,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:19,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:20,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:20,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:20,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:20,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:21,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:21,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:21,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:21,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:22,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:22,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:22,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:22,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:23,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:23,2844,50505,53349,28,37,65
1,201392386,2170660915,15082,36895,2024-10-04 19:20:23,0,0,0,0,0,0
